# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# TN       = Minimum temperatuur (in 0.1 graden Celsius);
# TX       = Maximum temperatuur (in 0.1 graden Celsius);
# SQ       = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur);
# DR       = Duur van de neerslag (in 0.1 uur);
#
# STN,YYYYMMDD,   TN,   TX,   SQ,   DR
#
  240,20140220,   47,  101,    0,   42
  240,20140221,   47,   95,   55,   25
  240,20140222,   33,  103,   57,   26
  240,20140223,   36,  119,   63,    0
  240,20140224,   41,  125,   90,    0
  240,20140225,   54,  121,   13,   15
  240,20140226,   35,  110,   65,    0
  240,20140227,   27,   71,   15,   35
  240,20140228,   14,   84,   22,   22
  240,20140301,   45,   83,   12,   48
  240,20140302,   15,  100,   91,    5
  240,20140303,   15,   93,   17,   28
  240,20140304,   22,  106,   55,    0
  240,20140305,   16,  121,   82,    0
  240,20140306,   16,  127,   32,    0
  240,20140307,   36,  123,   25,    0
  240,20140308,   -4,  158,   94,    0
  240,20140309,   42,  181,  103,    0
  240,20140310,   31,  174,  102,    0
  240,20140311,   61,  131,   58,    0
  240,20140312,   31,  150,  103,    0
  240,20140313,   19,  161,  107,    0
  240,20140314,   12,  103,   47,    0
  240,20140315,   81,  114,   39,    0
  240,20140316,   87,  127,   70,    0
  240,20140317,   84,  118,    0,    0
  240,20140318,   70,  110,    5,   15
  240,20140319,   70,  135,   62,    0
  240,20140320,   61,  200,  113,    0
  240,20140321,   49,  118,   45,  100
  240,20140322,   42,  106,   34,    2
  240,20140323,   30,   97,   64,   17
  240,20140324,    5,   99,  103,    9
  240,20140325,    3,  108,   90,    0
  240,20140326,   -6,   88,   44,    4
  240,20140327,   24,  138,   84,    3
  240,20140328,   50,  168,  115,    0
  240,20140329,   46,  189,  104,    0
  240,20140330,   75,  199,   59,    0
  240,20140331,   99,  201,   74,    0
  240,20140401,   72,  189,   82,    0
  240,20140402,   53,  190,   69,    0
  240,20140403,   82,  214,   81,    0
  240,20140404,  107,  140,    0,    0
  240,20140405,   86,  170,   72,    0
  240,20140406,   92,  161,    0,   15
  240,20140407,  111,  206,   30,   36
  240,20140408,   61,  132,   62,   24
  240,20140409,   60,  137,  110,    0
  240,20140410,   89,  146,   15,    0
  240,20140411,   57,  155,   59,    0
  240,20140412,   22,  150,   67,    0
  240,20140413,   71,  134,   97,    0
  240,20140414,   45,  116,   71,   10
  240,20140415,   22,  111,   57,    0
  240,20140416,   14,  148,  130,    0
  240,20140417,   42,  174,   61,   15
  240,20140418,   54,  118,   45,   13
  240,20140419,   57,  154,  101,    7
  240,20140420,  105,  212,   94,    0
  240,20140421,   97,  154,   33,    9
  240,20140422,   85,  175,   84,    0
  240,20140423,   71,  202,  107,    0
  240,20140424,   82,  195,   22,    7
  240,20140425,  120,  231,  101,    5
  240,20140426,   98,  179,   56,    0
  240,20140427,   92,  153,   14,   51
  240,20140428,   83,  159,    6,    0
  240,20140429,  108,  157,   29,   12
  240,20140430,  100,  155,    8,    0
  240,20140501,   97,  173,   38,   13
  240,20140502,   45,  129,   26,    0
  240,20140503,   38,  135,   93,    0
  240,20140504,   19,  127,   66,    0
  240,20140505,   41,  185,   97,    0
  240,20140506,  116,  177,   47,    1
  240,20140507,  109,  169,   66,    3
  240,20140508,  115,  146,    2,   81
  240,20140509,   75,  166,   55,    7
  240,20140510,   77,  154,   30,   66
  240,20140511,   96,  130,    9,  125
  240,20140512,   63,  148,   54,   15
  240,20140513,   58,  147,  116,    0
  240,20140514,   56,  145,   91,    0
  240,20140515,   39,  154,  118,    0
  240,20140516,   47,  185,  148,    0
  240,20140517,   73,  208,  144,    0
  240,20140518,   91,  221,  138,    0
  240,20140519,  113,  242,  134,    0
  240,20140520,  147,  258,   81,    9
  240,20140521,  126,  216,   27,   18
  240,20140522,  149,  226,   90,    6
  240,20140523,  133,  204,   55,    0
  240,20140524,  115,  200,   92,    0
  240,20140525,   92,  206,   94,    0
  240,20140526,  133,  220,    6,   49
  240,20140527,  149,  185,    4,   89
  240,20140528,  119,  153,    0,  101
  240,20140529,   66,  119,    4,   13
  240,20140530,   57,  174,  129,    0
  240,20140531,   69,  195,  115,    0
  240,20140601,   80,  180,  106,    0
  240,20140602,   86,  199,   87,    0
  240,20140603,   84,  205,   56,    4
  240,20140604,  120,  183,   13,   51
  240,20140605,   87,  166,   58,    2
  240,20140606,   74,  220,  149,    0
  240,20140607,  128,  280,   90,    0
  240,20140608,  149,  243,   86,   11
  240,20140609,  161,  270,   58,    0
  240,20140610,  136,  243,   61,   40
  240,20140611,  115,  202,  129,    0
  240,20140612,  108,  225,  120,    0
  240,20140613,  115,  217,  143,    0
  240,20140614,  128,  189,   42,    0
  240,20140615,  111,  194,   69,    0
  240,20140616,  127,  184,   20,    0
  240,20140617,   99,  187,   41,    0
  240,20140618,   97,  201,   71,    3
  240,20140619,  128,  169,    9,   11
  240,20140620,   99,  177,   24,    7
  240,20140621,   99,  204,  105,    0
  240,20140622,   89,  196,  125,    0
  240,20140623,   93,  205,   94,    0
  240,20140624,  109,  213,   57,    0
  240,20140625,   94,  182,   62,    0
