,srch_id,date_time,site_id,visitor_location_country_id,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,random_bool,click_bool,booking_bool,ump,tot_passengers,price_pp,relevance
68,8,2013-03-20 17:50:44,5,219,219,27669,3,3.5,1,3.0,0.2107,4.62,16,85.0,0,7082,1,0,1,0,1,0,0,1,1,16.49403212954563,1,85.0,5
693,60,2013-04-14 18:36:46,32,220,219,10642,3,4.5,1,1.79,0.0085,5.05,7,182.83,0,23904,3,83,2,1,1,1,0,1,1,-26.807535513605046,3,60.943333333333335,5
653,53,2013-02-13 07:00:24,5,219,219,101178,4,4.5,1,3.91,0.1399,5.35,4,151.0,1,7434,2,16,2,0,1,1,0,1,1,59.60829786667438,2,75.5,5
467,44,2013-03-19 15:57:46,15,55,55,13205,4,4.5,0,5.14,0.155,5.46,1,126.83,1,24752,1,1,1,0,1,0,0,1,1,108.26742436523857,1,126.83,5
312,30,2013-02-11 01:28:38,24,216,219,125611,3,3.5,1,4.55,0.2653,5.63,13,176.98,1,20319,9,13,2,0,1,0,0,1,1,101.68211763303995,2,88.49,5
944,74,2013-05-11 12:39:09,5,219,219,64949,4,4.5,1,4.08,0.0729,5.54,2,139.0,0,11235,1,6,2,0,1,1,0,1,1,115.67799945855464,2,69.5,5
883,71,2013-03-12 23:14:50,24,216,98,136843,4,3.5,1,1.39,0.0053,4.6,15,72.82,0,341,1,18,1,1,1,1,1,1,0,26.664315641933783,2,36.41,1
427,42,2012-12-19 14:24:00,14,100,100,48834,2,3.5,0,0.69,0.0347,4.9,3,70.79,0,5740,1,87,2,0,1,1,0,1,0,63.49977968493552,2,35.395,1
801,65,2012-11-08 14:05:51,5,219,219,82343,3,2.5,0,0.69,0.3552,4.53,1,85.0,0,22413,1,0,2,2,1,1,0,1,0,7.758561082111768,4,21.25,1
661,56,2013-04-02 12:23:19,5,219,158,81162,5,4.0,1,4.19,0.0201,5.19,4,92.0,0,21401,5,96,1,0,1,0,1,1,0,87.46855293183248,1,92.0,1
319,31,2013-05-28 22:05:02,24,216,15,6764,2,3.5,1,1.61,0.0148,4.91,4,101.23,0,19144,1,214,2,2,1,1,1,1,0,34.409414408465224,4,25.3075,1
402,40,2012-12-26 11:38:48,32,220,98,59364,4,3.5,0,4.39,0.4086,4.25,8,56.04,0,6753,2,90,2,0,1,0,1,1,0,14.065412346687857,2,28.02,1
293,30,2013-02-11 01:28:38,24,216,219,15884,2,3.0,1,0.69,0.0028,5.07,4,137.82,1,20319,9,13,2,0,1,0,0,0,0,21.354327343297143,2,68.91,0
250,28,2012-11-26 10:13:17,5,219,219,24003,2,4.0,1,1.1,0.0182,4.45,7,56.0,1,24232,3,27,1,0,1,0,0,0,0,29.626944002200588,1,56.0,0
697,60,2013-04-14 18:36:46,32,220,219,27969,4,3.5,0,3.33,0.0532,5.01,12,134.5,1,23904,3,83,2,1,1,1,0,0,0,15.40473614904667,3,44.833333333333336,0
381,39,2013-04-06 18:08:58,5,219,219,56537,2,4.0,1,1.61,0.282,4.52,2,89.0,0,24361,1,7,2,2,1,1,0,0,0,2.8355979781567413,4,22.25,0
475,44,2013-03-19 15:57:46,15,55,55,38148,3,3.5,0,5.32,0.0886,4.83,26,57.38,1,24752,1,1,1,0,1,0,0,0,0,67.83096065476522,1,57.38,0
923,73,2013-03-28 22:09:18,31,219,219,46734,3,4.5,1,1.61,0.068,5.32,20,229.0,0,26172,4,50,2,0,1,1,0,0,0,-24.61611800703193,2,114.5,0
