srch_id, prop_id 
73, 36822
73, 59175
73, 81549
64, 62895
64, 5441
64, 99489
40, 105152
40, 127369
40, 47442
40, 47865
57, 23062
57, 36129
57, 52642
63, 14082
60, 132416
60, 90058
60, 67110
60, 27969
60, 134549
60, 1736
60, 43028
46, 60125
46, 5351
46, 53336
47, 73043
47, 108569
47, 6618
47, 126620
47, 78074
47, 18311
47, 123573
47, 129398
43, 43657
43, 62237
36, 60758
36, 18970
36, 35338
36, 6214
36, 136536
36, 83407
36, 130634
4, 65984
4, 137826
4, 3625
4, 75491
4, 71258
72, 23268
25, 56370
25, 112716
25, 68528
25, 83281
78, 41413
78, 10223
30, 31945
30, 36710
30, 65983
44, 49612
44, 48064
44, 139249
44, 44308
44, 53335
44, 44894
44, 130270
44, 113967
52, 123606
52, 9193
52, 80894
52, 90307
52, 87428
52, 55670
52, 108101
52, 15671
52, 57341
74, 139193
74, 122299
74, 107721
74, 36045
74, 110663
75, 63519
75, 116668
75, 54739
75, 118722
75, 114201
75, 122468
28, 67406
28, 66769
28, 35767
28, 34187
53, 54572
53, 85194
1, 97247
1, 88127
1, 30184
1, 56880
1, 74474
39, 68411
42, 14445
42, 82226
8, 67150
8, 134607
